PRODUCTO,CATEGORIA,MONTO TOTAL
"ML Road Frame-W - Yellow, 48",ROAD FRAMES,356.90
"ML Road Frame-W - Yellow, 38",ROAD FRAMES,356.90
Rear Brakes,BRAKES,63.90
"ML Mountain Frame-W - Silver, 42",MOUNTAIN FRAMES,218.45
"Mountain-400-W Silver, 46",MOUNTAIN BIKES,461.69
"Mountain-500 Silver, 52",MOUNTAIN BIKES,112.60
"HL Mountain Frame - Silver, 38",MOUNTAIN FRAMES,818.70
"Mountain-500 Black, 42",MOUNTAIN BIKES,323.99
"LL Mountain Frame - Black, 48",MOUNTAIN FRAMES,149.87
"HL Mountain Frame - Black, 42",MOUNTAIN FRAMES,809.76
"Mountain-200 Black, 38",MOUNTAIN BIKES,1376.99
"LL Mountain Frame - Silver, 44",MOUNTAIN FRAMES,158.43
"Mountain-200 Silver, 42",MOUNTAIN BIKES,1391.99
HL Mountain Pedal,PEDALS,48.59
"Women's Mountain Shorts, S",SHORTS,41.99
"Mountain-500 Silver, 42",MOUNTAIN BIKES,112.60
"Mountain-500 Black, 40",MOUNTAIN BIKES,323.99
"Mountain-500 Black, 44",MOUNTAIN BIKES,323.99
"Mountain-500 Black, 48",MOUNTAIN BIKES,323.99
"Mountain-500 Black, 52",MOUNTAIN BIKES,323.99
"Mountain-500 Silver, 40",MOUNTAIN BIKES,112.60
"Mountain-500 Silver, 44",MOUNTAIN BIKES,112.60
"Mountain-500 Silver, 48",MOUNTAIN BIKES,112.60
"Mountain-400-W Silver, 40",MOUNTAIN BIKES,461.69
"Mountain-400-W Silver, 42",MOUNTAIN BIKES,461.69
"Mountain-200 Black, 42",MOUNTAIN BIKES,1376.99
ML Mountain Handlebars,HANDLEBARS,37.15
HL Mountain Handlebars,HANDLEBARS,72.16
LL Mountain Pedal,PEDALS,24.29
"LL Mountain Frame - Black, 44",MOUNTAIN FRAMES,149.87
"Women's Mountain Shorts, L",SHORTS,41.99
Hydration Pack - 70 oz.,HYDRATION PACKS,32.99
"Long-Sleeve Logo Jersey, M",JERSEYS,29.99
"Touring-1000 Yellow, 54",TOURING BIKES,1430.44
"Touring-1000 Yellow, 46",TOURING BIKES,1430.44
AWC Logo Cap,CAPS,5.39
Bike Wash - Dissolver,CLEANERS,4.77
HL Bottom Bracket,BOTTOM BRACKETS,72.89
"Classic Vest, S",VESTS,38.10
Hitch Rack - 4-Bike,BIKE RACKS,72.00
"Touring-3000 Blue, 58",TOURING BIKES,445.41
"Touring-2000 Blue, 50",TOURING BIKES,728.91
Water Bottle - 30 oz.,BOTTLES AND CAGES,2.99
"Touring-3000 Blue, 44",TOURING BIKES,445.41
"Touring-1000 Yellow, 50",TOURING BIKES,1430.44
Front Brakes,BRAKES,63.90
LL Bottom Bracket,BOTTOM BRACKETS,32.39
"Touring-2000 Blue, 46",TOURING BIKES,728.91
"Touring-1000 Blue, 46",TOURING BIKES,1430.44
"Short-Sleeve Classic Jersey, XL",JERSEYS,32.39
"HL Touring Frame - Yellow, 60",TOURING FRAMES,602.35
"Long-Sleeve Logo Jersey, L",JERSEYS,29.99
Rear Derailleur,DERAILLEURS,72.88
"Touring-1000 Yellow, 60",TOURING BIKES,1430.44
"Touring-1000 Blue, 50",TOURING BIKES,1430.44
"Sport-100 Helmet, Black",HELMETS,20.99
"Touring-3000 Yellow, 44",TOURING BIKES,445.41
"Touring-3000 Blue, 50",TOURING BIKES,445.41
"Touring-3000 Blue, 54",TOURING BIKES,445.41
"Touring-3000 Yellow, 54",TOURING BIKES,445.41
"Touring-2000 Blue, 60",TOURING BIKES,728.91
"Touring-1000 Blue, 54",TOURING BIKES,1430.44
HL Crankset,CRANKSETS,242.99
Front Derailleur,DERAILLEURS,54.89
HL Touring Seat/Saddle,SADDLES,31.58
"LL Touring Frame - Yellow, 62",TOURING FRAMES,200.05
"HL Touring Frame - Blue, 54",TOURING FRAMES,602.35
"HL Touring Frame - Blue, 60",TOURING FRAMES,602.35
"Short-Sleeve Classic Jersey, S",JERSEYS,32.39
"Short-Sleeve Classic Jersey, L",JERSEYS,32.39
"Half-Finger Gloves, M",GLOVES,14.69
"Classic Vest, M",VESTS,38.10
Hydration Pack - 70 oz.,HYDRATION PACKS,32.99
"Sport-100 Helmet, Blue",HELMETS,20.99
"Sport-100 Helmet, Red",HELMETS,20.99
"LL Road Frame - Black, 52",ROAD FRAMES,202.33
ML Road Pedal,PEDALS,37.25
"Road-250 Black, 44",ROAD BIKES,1466.01
"Road-750 Black, 58",ROAD BIKES,323.99
Hydration Pack - 70 oz.,HYDRATION PACKS,32.99
"Half-Finger Gloves, M",GLOVES,14.69
"Road-350-W Yellow, 48",ROAD BIKES,850.40
"Long-Sleeve Logo Jersey, M",JERSEYS,29.99
Bike Wash - Dissolver,CLEANERS,4.77
HL Road Handlebars,HANDLEBARS,72.16
"Short-Sleeve Classic Jersey, S",JERSEYS,32.39
Patch Kit/8 Patches,TIRES AND TUBES,1.37
Water Bottle - 30 oz.,BOTTLES AND CAGES,2.99
"ML Road Frame-W - Yellow, 38",ROAD FRAMES,356.90
"Road-550-W Yellow, 42",ROAD BIKES,672.29
"Half-Finger Gloves, S",GLOVES,14.69
"Half-Finger Gloves, L",GLOVES,14.69
"Classic Vest, S",VESTS,34.88
LL Road Pedal,PEDALS,24.29
"Short-Sleeve Classic Jersey, L",JERSEYS,31.29
"LL Road Frame - Black, 58",ROAD FRAMES,202.33
"Short-Sleeve Classic Jersey, XL",JERSEYS,32.39
"Road-750 Black, 48",ROAD BIKES,323.99
"Road-750 Black, 52",ROAD BIKES,323.99
"Road-550-W Yellow, 38",ROAD BIKES,672.29
"Road-550-W Yellow, 40",ROAD BIKES,672.29
"Road-550-W Yellow, 48",ROAD BIKES,672.29
"Road-350-W Yellow, 40",ROAD BIKES,1020.59
"Road-350-W Yellow, 42",ROAD BIKES,986.55
HL Road Pedal,PEDALS,48.59
"ML Road Frame-W - Yellow, 44",ROAD FRAMES,356.90
"ML Road Frame-W - Yellow, 48",ROAD FRAMES,356.90
"HL Road Frame - Black, 44",ROAD FRAMES,858.90
"HL Road Frame - Red, 44",ROAD FRAMES,858.90
"Long-Sleeve Logo Jersey, L",JERSEYS,27.44
"Long-Sleeve Logo Jersey, XL",JERSEYS,29.99
"Racing Socks, L",SOCKS,5.39
"Classic Vest, M",VESTS,38.10
AWC Logo Cap,CAPS,5.19
"Sport-100 Helmet, Blue",HELMETS,19.19
Hitch Rack - 4-Bike,BIKE RACKS,72.00
"Sport-100 Helmet, Red",HELMETS,20.99
"Sport-100 Helmet, Black",HELMETS,20.27
"Sport-100 Helmet, Blue",HELMETS,20.99
"HL Touring Frame - Yellow, 60",TOURING FRAMES,602.35
"Touring-1000 Yellow, 46",TOURING BIKES,1430.44
Water Bottle - 30 oz.,BOTTLES AND CAGES,2.87
"Classic Vest, M",VESTS,38.10
"Touring-2000 Blue, 46",TOURING BIKES,728.91
"Touring-3000 Blue, 58",TOURING BIKES,445.41
"Long-Sleeve Logo Jersey, M",JERSEYS,29.99
AWC Logo Cap,CAPS,5.39
"Touring-2000 Blue, 54",TOURING BIKES,728.91
Bike Wash - Dissolver,CLEANERS,4.77
"Long-Sleeve Logo Jersey, XL",JERSEYS,29.99
"Touring-3000 Yellow, 62",TOURING BIKES,430.54
"Touring-3000 Blue, 54",TOURING BIKES,445.41
Hitch Rack - 4-Bike,BIKE RACKS,72.00
"LL Touring Frame - Yellow, 44",TOURING FRAMES,200.05
"Half-Finger Gloves, S",GLOVES,14.69
"HL Touring Frame - Yellow, 54",TOURING FRAMES,602.35
"Touring-3000 Yellow, 50",TOURING BIKES,445.41
"LL Touring Frame - Blue, 50",TOURING FRAMES,200.05
"Touring-1000 Yellow, 60",TOURING BIKES,1382.74
"Touring-3000 Blue, 50",TOURING BIKES,445.41
"Touring-3000 Yellow, 44",TOURING BIKES,445.41
"Touring-3000 Yellow, 54",TOURING BIKES,445.41
"Touring-2000 Blue, 60",TOURING BIKES,728.91
"Touring-1000 Blue, 46",TOURING BIKES,1430.44
"Touring-1000 Blue, 50",TOURING BIKES,1430.44
"Touring-1000 Blue, 60",TOURING BIKES,1430.44
"Touring-1000 Yellow, 50",TOURING BIKES,1430.44
HL Touring Seat/Saddle,SADDLES,31.58
"LL Touring Frame - Blue, 54",TOURING FRAMES,200.05
"LL Touring Frame - Yellow, 50",TOURING FRAMES,200.05
"HL Touring Frame - Blue, 60",TOURING FRAMES,602.35
"Long-Sleeve Logo Jersey, L",JERSEYS,29.99
"Short-Sleeve Classic Jersey, S",JERSEYS,32.39
"Short-Sleeve Classic Jersey, L",JERSEYS,32.39
"Short-Sleeve Classic Jersey, XL",JERSEYS,32.39
"Half-Finger Gloves, M",GLOVES,14.69
"Classic Vest, S",VESTS,34.88
Hydration Pack - 70 oz.,HYDRATION PACKS,32.99
Patch Kit/8 Patches,TIRES AND TUBES,1.37
"Sport-100 Helmet, Red",HELMETS,20.99
"Sport-100 Helmet, Black",HELMETS,20.27
"HL Touring Frame - Blue, 50",TOURING FRAMES,602.35
"Touring-2000 Blue, 54",TOURING BIKES,728.91
"Touring-2000 Blue, 60",TOURING BIKES,728.91
HL Touring Seat/Saddle,SADDLES,31.58
"Touring-3000 Blue, 54",TOURING BIKES,445.41
"Touring-1000 Yellow, 60",TOURING BIKES,1430.44
"Touring-1000 Blue, 60",TOURING BIKES,1430.44
"Touring-1000 Blue, 50",TOURING BIKES,1430.44
"Touring-3000 Blue, 50",TOURING BIKES,445.41
"Touring-3000 Yellow, 44",TOURING BIKES,445.41
"Touring-3000 Yellow, 62",TOURING BIKES,445.41
"Touring-2000 Blue, 46",TOURING BIKES,728.91
"Touring-1000 Yellow, 46",TOURING BIKES,1430.44
"Touring-1000 Yellow, 50",TOURING BIKES,1430.44
HL Touring Handlebars,HANDLEBARS,54.94
"LL Touring Frame - Yellow, 44",TOURING FRAMES,200.05
"LL Touring Frame - Yellow, 50",TOURING FRAMES,200.05
"HL Touring Frame - Blue, 54",TOURING FRAMES,602.35
"HL Touring Frame - Blue, 60",TOURING FRAMES,602.35
"HL Touring Frame - Yellow, 60",TOURING FRAMES,602.35
"Sport-100 Helmet, Blue",HELMETS,20.99
"HL Road Frame - Black, 44",ROAD FRAMES,858.90
"Long-Sleeve Logo Jersey, M",JERSEYS,29.99
HL Road Pedal,PEDALS,48.59
"Short-Sleeve Classic Jersey, L",JERSEYS,29.64
HL Road Seat/Saddle,SADDLES,31.58
"LL Road Frame - Black, 52",ROAD FRAMES,202.33
"LL Road Frame - Black, 58",ROAD FRAMES,202.33
"ML Road Frame-W - Yellow, 44",ROAD FRAMES,356.90
"HL Road Frame - Red, 44",ROAD FRAMES,858.90
"Long-Sleeve Logo Jersey, L",JERSEYS,29.99
"Long-Sleeve Logo Jersey, XL",JERSEYS,29.99
"Short-Sleeve Classic Jersey, XL",JERSEYS,29.64
"Racing Socks, L",SOCKS,5.39
"Half-Finger Gloves, L",GLOVES,14.69
AWC Logo Cap,CAPS,5.39
Hydration Pack - 70 oz.,HYDRATION PACKS,32.99
Patch Kit/8 Patches,TIRES AND TUBES,1.37
Hitch Rack - 4-Bike,BIKE RACKS,72.00
"Road-750 Black, 58",ROAD BIKES,323.99
"Road-550-W Yellow, 40",ROAD BIKES,672.29
HL Road Handlebars,HANDLEBARS,72.16
ML Road Pedal,PEDALS,37.25
"Road-550-W Yellow, 48",ROAD BIKES,672.29
"Road-750 Black, 48",ROAD BIKES,323.99
"Road-750 Black, 52",ROAD BIKES,323.99
LL Road Pedal,PEDALS,24.29
"Road-250 Black, 48",ROAD BIKES,1466.01
"Road-250 Black, 52",ROAD BIKES,1466.01
"Road-550-W Yellow, 38",ROAD BIKES,672.29
"Short-Sleeve Classic Jersey, S",JERSEYS,32.39
"Classic Vest, M",VESTS,38.10
"Classic Vest, S",VESTS,34.88
"Road-350-W Yellow, 48",ROAD BIKES,1020.59
Bike Wash - Dissolver,CLEANERS,4.32
"Road-250 Black, 44",ROAD BIKES,1466.01
"Road-350-W Yellow, 42",ROAD BIKES,1020.59
"Sport-100 Helmet, Red",HELMETS,20.99
"Half-Finger Gloves, M",GLOVES,14.69
"Road-350-W Yellow, 40",ROAD BIKES,1020.59
Water Bottle - 30 oz.,BOTTLES AND CAGES,2.87
"HL Road Frame - Red, 62",ROAD FRAMES,858.90
"Half-Finger Gloves, S",GLOVES,14.69
"ML Road Frame-W - Yellow, 48",ROAD FRAMES,356.90
"Sport-100 Helmet, Black",HELMETS,20.27
"ML Road Frame-W - Yellow, 38",ROAD FRAMES,356.90
"LL Road Frame - Black, 52",ROAD FRAMES,202.33
"ML Road Frame-W - Yellow, 44",ROAD FRAMES,356.90
"Racing Socks, M",SOCKS,5.39
"Touring-2000 Blue, 60",TOURING BIKES,728.91
"Touring-1000 Yellow, 46",TOURING BIKES,1430.44
"Long-Sleeve Logo Jersey, L",JERSEYS,29.99
AWC Logo Cap,CAPS,5.39
"Short-Sleeve Classic Jersey, L",JERSEYS,32.39
"Touring-3000 Yellow, 44",TOURING BIKES,445.41
Front Brakes,BRAKES,63.90
"Women's Mountain Shorts, L",SHORTS,41.99
"Mountain-200 Black, 38",MOUNTAIN BIKES,1376.99
"Women's Mountain Shorts, S",SHORTS,41.99
"LL Mountain Frame - Silver, 44",MOUNTAIN FRAMES,158.43
"Mountain-400-W Silver, 46",MOUNTAIN BIKES,461.69
"Mountain-200 Silver, 46",MOUNTAIN BIKES,1391.99
"Women's Mountain Shorts, M",SHORTS,41.99
HL Mountain Handlebars,HANDLEBARS,72.16
"Mountain-400-W Silver, 38",MOUNTAIN BIKES,461.69
"LL Mountain Frame - Black, 44",MOUNTAIN FRAMES,149.87
"Mountain-500 Silver, 42",MOUNTAIN BIKES,112.60
LL Mountain Seat/Saddle,SADDLES,16.27
"Women's Mountain Shorts, S",SHORTS,40.57
"Mountain-200 Black, 38",MOUNTAIN BIKES,1376.99
HL Mountain Pedal,PEDALS,48.59
ML Mountain Pedal,PEDALS,37.25
"HL Mountain Frame - Black, 42",MOUNTAIN FRAMES,809.76
"ML Mountain Frame-W - Silver, 40",MOUNTAIN FRAMES,218.45
"HL Mountain Frame - Silver, 38",MOUNTAIN FRAMES,818.70
HL Mountain Seat/Saddle,SADDLES,31.58
"Mountain-200 Black, 46",MOUNTAIN BIKES,1376.99
"Mountain-500 Black, 42",MOUNTAIN BIKES,323.99
"Mountain-500 Black, 48",MOUNTAIN BIKES,323.99
"Mountain-500 Silver, 40",MOUNTAIN BIKES,112.60
"Mountain-200 Silver, 38",MOUNTAIN BIKES,1391.99
"Mountain-200 Silver, 42",MOUNTAIN BIKES,1391.99
"LL Mountain Frame - Silver, 40",MOUNTAIN FRAMES,158.43
LL Mountain Handlebars,HANDLEBARS,26.72
ML Mountain Handlebars,HANDLEBARS,37.15
LL Mountain Pedal,PEDALS,24.29
