PRODUCTO,CATEGORIA,MONTO TOTAL
"LL Mountain Frame - Black, 48",MOUNTAIN FRAMES,149.87
"LL Mountain Frame - Silver, 42",MOUNTAIN FRAMES,158.43
"LL Mountain Frame - Silver, 52",MOUNTAIN FRAMES,158.43
"Mountain-500 Silver, 52",MOUNTAIN BIKES,112.60
Front Brakes,BRAKES,63.90
"ML Mountain Frame-W - Silver, 40",MOUNTAIN FRAMES,218.45
"HL Mountain Frame - Silver, 46",MOUNTAIN FRAMES,818.70
"Mountain-200 Silver, 42",MOUNTAIN BIKES,1391.99
Front Derailleur,DERAILLEURS,54.89
LL Crankset,CRANKSETS,105.29
HL Mountain Pedal,PEDALS,48.59
"Women's Mountain Shorts, S",SHORTS,41.99
"HL Mountain Frame - Silver, 38",MOUNTAIN FRAMES,818.70
"ML Mountain Frame-W - Silver, 42",MOUNTAIN FRAMES,218.45
"Mountain-200 Silver, 46",MOUNTAIN BIKES,1391.99
"Women's Mountain Shorts, L",SHORTS,41.99
"Mountain-200 Black, 42",MOUNTAIN BIKES,1376.99
"Mountain-200 Black, 46",MOUNTAIN BIKES,1376.99
HL Crankset,CRANKSETS,242.99
"HL Mountain Frame - Black, 38",MOUNTAIN FRAMES,809.76
ML Mountain Handlebars,HANDLEBARS,37.15
"LL Mountain Frame - Silver, 52",MOUNTAIN FRAMES,158.43
"HL Mountain Frame - Black, 42",MOUNTAIN FRAMES,809.76
"Long-Sleeve Logo Jersey, L",JERSEYS,29.99
"LL Mountain Frame - Silver, 40",MOUNTAIN FRAMES,158.43
LL Mountain Handlebars,HANDLEBARS,26.72
ML Mountain Seat/Saddle,SADDLES,23.48
"LL Mountain Frame - Black, 44",MOUNTAIN FRAMES,149.87
"Mountain-200 Black, 38",MOUNTAIN BIKES,1376.99
HL Mountain Seat/Saddle,SADDLES,31.58
HL Bottom Bracket,BOTTOM BRACKETS,72.89
"Mountain-200 Silver, 38",MOUNTAIN BIKES,1391.99
"LL Mountain Frame - Black, 42",MOUNTAIN FRAMES,149.87
Chain,CHAINS,12.14
ML Mountain Pedal,PEDALS,37.25
"HL Mountain Frame - Silver, 42",MOUNTAIN FRAMES,818.70
"Mountain-500 Silver, 40",MOUNTAIN BIKES,112.60
"Mountain-400-W Silver, 40",MOUNTAIN BIKES,461.69
"Touring-3000 Yellow, 50",TOURING BIKES,445.41
Front Derailleur,DERAILLEURS,54.89
"Touring-3000 Blue, 50",TOURING BIKES,445.41
"Touring-3000 Yellow, 50",TOURING BIKES,445.41
"Touring-2000 Blue, 60",TOURING BIKES,728.91
"Long-Sleeve Logo Jersey, L",JERSEYS,29.99
"Short-Sleeve Classic Jersey, L",JERSEYS,32.39
"Touring-1000 Yellow, 60",TOURING BIKES,1430.44
"Touring-3000 Yellow, 62",TOURING BIKES,445.41
Chain,CHAINS,12.14
Front Brakes,BRAKES,63.90
Front Derailleur,DERAILLEURS,54.89
"Touring-2000 Blue, 54",TOURING BIKES,728.91
Bike Wash - Dissolver,CLEANERS,4.77
"Touring-3000 Blue, 54",TOURING BIKES,445.41
"Touring-1000 Blue, 60",TOURING BIKES,1430.44
"Touring-3000 Yellow, 44",TOURING BIKES,445.41
"Touring-1000 Blue, 46",TOURING BIKES,1430.44
AWC Logo Cap,CAPS,5.39
"Racing Socks, L",SOCKS,5.19
"Racing Socks, M",SOCKS,5.39
"Road-750 Black, 48",ROAD BIKES,323.99
"Road-350-W Yellow, 40",ROAD BIKES,1020.59
"Sport-100 Helmet, Blue",HELMETS,20.99
"Road-750 Black, 52",ROAD BIKES,323.99
LL Road Pedal,PEDALS,24.29
"HL Road Frame - Red, 62",ROAD FRAMES,858.90
Hitch Rack - 4-Bike,BIKE RACKS,72.00
"Short-Sleeve Classic Jersey, XL",JERSEYS,32.39
"Classic Vest, S",VESTS,38.10
ML Mountain Seat/Saddle,SADDLES,23.48
"Long-Sleeve Logo Jersey, L",JERSEYS,29.99
"Classic Vest, S",VESTS,38.10
"Touring-1000 Blue, 46",TOURING BIKES,1430.44
"Touring-3000 Blue, 50",TOURING BIKES,445.41
"Touring-1000 Blue, 60",TOURING BIKES,1430.44
"Short-Sleeve Classic Jersey, XL",JERSEYS,32.39
AWC Logo Cap,CAPS,5.39
"Touring-1000 Yellow, 46",TOURING BIKES,1430.44
"Classic Vest, S",VESTS,38.10
Front Brakes,BRAKES,63.90
"Touring-1000 Blue, 60",TOURING BIKES,1430.44
"Touring-3000 Blue, 44",TOURING BIKES,445.41
HL Bottom Bracket,BOTTOM BRACKETS,72.89
"Touring-1000 Blue, 50",TOURING BIKES,1430.44
"Touring-2000 Blue, 46",TOURING BIKES,728.91
"Touring-1000 Yellow, 54",TOURING BIKES,1430.44
"Touring-3000 Blue, 62",TOURING BIKES,445.41
LL Bottom Bracket,BOTTOM BRACKETS,32.39
"Touring-3000 Blue, 58",TOURING BIKES,445.41
"Touring-1000 Blue, 54",TOURING BIKES,1430.44
"Touring-1000 Blue, 46",TOURING BIKES,1430.44
"Touring-2000 Blue, 54",TOURING BIKES,728.91
LL Crankset,CRANKSETS,105.29
"Touring-3000 Blue, 54",TOURING BIKES,445.41
Front Derailleur,DERAILLEURS,54.89
"Touring-2000 Blue, 50",TOURING BIKES,728.91
"Touring-2000 Blue, 60",TOURING BIKES,728.91
"HL Touring Frame - Yellow, 54",TOURING FRAMES,602.35
"Touring-1000 Yellow, 50",TOURING BIKES,1430.44
"Touring-3000 Yellow, 58",TOURING BIKES,445.41
HL Touring Seat/Saddle,SADDLES,31.58
Front Brakes,BRAKES,63.90
"Touring-3000 Blue, 50",TOURING BIKES,445.41
HL Crankset,CRANKSETS,242.99
"Touring-1000 Yellow, 46",TOURING BIKES,1430.44
Chain,CHAINS,12.14
"Touring-3000 Yellow, 62",TOURING BIKES,445.41
"Touring-3000 Yellow, 44",TOURING BIKES,445.41
"Short-Sleeve Classic Jersey, S",JERSEYS,32.39
"Mountain-500 Silver, 52",MOUNTAIN BIKES,112.60
"Mountain-400-W Silver, 40",MOUNTAIN BIKES,461.69
"HL Mountain Frame - Black, 42",MOUNTAIN FRAMES,809.76
LL Mountain Handlebars,HANDLEBARS,26.72
"Long-Sleeve Logo Jersey, M",JERSEYS,29.99
"LL Mountain Frame - Silver, 40",MOUNTAIN FRAMES,158.43
HL Mountain Pedal,PEDALS,48.59
"Mountain-200 Silver, 42",MOUNTAIN BIKES,1391.99
"Mountain-400-W Silver, 40",MOUNTAIN BIKES,461.69
"ML Mountain Frame-W - Silver, 40",MOUNTAIN FRAMES,218.45
"Mountain-500 Silver, 48",MOUNTAIN BIKES,112.60
"Mountain-200 Black, 42",MOUNTAIN BIKES,1376.99
"Mountain-200 Silver, 46",MOUNTAIN BIKES,1391.99
"Half-Finger Gloves, M",GLOVES,14.69
"Women's Mountain Shorts, L",SHORTS,41.99
LL Mountain Seat/Saddle,SADDLES,16.27
AWC Logo Cap,CAPS,5.39
"LL Mountain Frame - Black, 44",MOUNTAIN FRAMES,149.87
HL Mountain Pedal,PEDALS,48.59
"Mountain-500 Black, 48",MOUNTAIN BIKES,323.99
"Mountain-400-W Silver, 38",MOUNTAIN BIKES,461.69
"Long-Sleeve Logo Jersey, L",JERSEYS,29.99
LL Mountain Pedal,PEDALS,24.29
"Mountain-500 Black, 40",MOUNTAIN BIKES,323.99
"Mountain-500 Silver, 40",MOUNTAIN BIKES,112.60
"Mountain-400-W Silver, 42",MOUNTAIN BIKES,461.69
"Mountain-200 Black, 38",MOUNTAIN BIKES,1376.99
"Mountain-200 Black, 46",MOUNTAIN BIKES,1376.99
HL Mountain Handlebars,HANDLEBARS,72.16
"LL Mountain Frame - Black, 48",MOUNTAIN FRAMES,149.87
"Long-Sleeve Logo Jersey, M",JERSEYS,29.99
Water Bottle - 30 oz.,BOTTLES AND CAGES,2.99
Hitch Rack - 4-Bike,BIKE RACKS,72.00
Bike Wash - Dissolver,CLEANERS,4.77
"Sport-100 Helmet, Red",HELMETS,20.99
"Mountain-500 Black, 52",MOUNTAIN BIKES,323.99
"Classic Vest, S",VESTS,38.10
"Women's Mountain Shorts, S",SHORTS,41.99
ML Mountain Handlebars,HANDLEBARS,37.15
"Mountain-500 Silver, 52",MOUNTAIN BIKES,112.60
Hydration Pack - 70 oz.,HYDRATION PACKS,32.99
ML Mountain Pedal,PEDALS,37.25
"Sport-100 Helmet, Black",HELMETS,20.99
"Mountain-200 Silver, 38",MOUNTAIN BIKES,1391.99
"Mountain-500 Black, 44",MOUNTAIN BIKES,323.99
"Short-Sleeve Classic Jersey, L",JERSEYS,32.39
HL Mountain Seat/Saddle,SADDLES,31.58
"Short-Sleeve Classic Jersey, S",JERSEYS,32.39
"Mountain-500 Silver, 42",MOUNTAIN BIKES,112.60
"Sport-100 Helmet, Blue",HELMETS,20.99
"Mountain-500 Silver, 44",MOUNTAIN BIKES,112.60
"HL Mountain Frame - Silver, 38",MOUNTAIN FRAMES,818.70
"Short-Sleeve Classic Jersey, XL",JERSEYS,32.39
"LL Mountain Frame - Silver, 44",MOUNTAIN FRAMES,158.43
"ML Mountain Frame-W - Silver, 42",MOUNTAIN FRAMES,218.45
"Mountain-400-W Silver, 46",MOUNTAIN BIKES,461.69
"Classic Vest, M",VESTS,38.10
"ML Road Frame-W - Yellow, 48",ROAD FRAMES,356.90
"LL Road Frame - Black, 52",ROAD FRAMES,202.33
LL Road Pedal,PEDALS,24.29
ML Road Pedal,PEDALS,37.25
HL Road Pedal,PEDALS,48.59
"Racing Socks, L",SOCKS,5.39
"Road-350-W Yellow, 40",ROAD BIKES,1020.59
LL Road Pedal,PEDALS,24.29
"Road-350-W Yellow, 48",ROAD BIKES,1020.59
"Short-Sleeve Classic Jersey, XL",JERSEYS,32.39
"Classic Vest, S",VESTS,38.10
Hitch Rack - 4-Bike,BIKE RACKS,72.00
Water Bottle - 30 oz.,BOTTLES AND CAGES,2.99
"Racing Socks, M",SOCKS,5.39
"Racing Socks, L",SOCKS,5.19
"Racing Socks, M",SOCKS,5.39
LL Road Pedal,PEDALS,24.29
"Road-350-W Yellow, 40",ROAD BIKES,1020.59
"Road-350-W Yellow, 48",ROAD BIKES,1020.59
"Road-750 Black, 48",ROAD BIKES,323.99
"Racing Socks, L",SOCKS,5.19
"LL Mountain Frame - Silver, 40",MOUNTAIN FRAMES,158.43
"Mountain-500 Silver, 42",MOUNTAIN BIKES,112.60
HL Bottom Bracket,BOTTOM BRACKETS,72.89
"Sport-100 Helmet, Red",HELMETS,20.99
"LL Mountain Frame - Black, 48",MOUNTAIN FRAMES,149.87
LL Mountain Handlebars,HANDLEBARS,26.72
"Mountain-500 Black, 48",MOUNTAIN BIKES,323.99
HL Crankset,CRANKSETS,242.99
"Mountain-200 Silver, 42",MOUNTAIN BIKES,1391.99
"ML Mountain Frame-W - Silver, 42",MOUNTAIN FRAMES,218.45
"HL Mountain Frame - Black, 38",MOUNTAIN FRAMES,809.76
"Women's Mountain Shorts, S",SHORTS,40.57
LL Mountain Pedal,PEDALS,24.29
Front Derailleur,DERAILLEURS,54.89
"LL Mountain Frame - Black, 42",MOUNTAIN FRAMES,149.87
"Mountain-200 Black, 42",MOUNTAIN BIKES,1376.99
"Mountain-200 Black, 46",MOUNTAIN BIKES,1376.99
"HL Mountain Frame - Silver, 38",MOUNTAIN FRAMES,818.70
"Mountain-400-W Silver, 40",MOUNTAIN BIKES,461.69
Rear Derailleur,DERAILLEURS,72.88
"Mountain-200 Silver, 38",MOUNTAIN BIKES,1391.99
"Mountain-200 Black, 38",MOUNTAIN BIKES,1376.99
"Women's Mountain Shorts, L",SHORTS,41.99
Chain,CHAINS,12.14
LL Crankset,CRANKSETS,105.29
HL Mountain Pedal,PEDALS,48.59
HL Mountain Seat/Saddle,SADDLES,31.58
"LL Mountain Frame - Silver, 42",MOUNTAIN FRAMES,158.43
LL Bottom Bracket,BOTTOM BRACKETS,32.39
"Mountain-500 Silver, 40",MOUNTAIN BIKES,112.60
"Half-Finger Gloves, L",GLOVES,14.69
Front Brakes,BRAKES,63.90
"LL Mountain Frame - Black, 44",MOUNTAIN FRAMES,149.87
LL Mountain Seat/Saddle,SADDLES,16.27
"LL Mountain Frame - Silver, 44",MOUNTAIN FRAMES,158.43
"HL Mountain Frame - Black, 42",MOUNTAIN FRAMES,809.76
"HL Mountain Frame - Silver, 42",MOUNTAIN FRAMES,818.70
"Mountain-500 Silver, 48",MOUNTAIN BIKES,112.60
ML Mountain Handlebars,HANDLEBARS,37.15
"ML Mountain Frame-W - Silver, 40",MOUNTAIN FRAMES,218.45
"Mountain-200 Silver, 46",MOUNTAIN BIKES,1391.99
"Women's Mountain Shorts, M",SHORTS,41.99
"Mountain-500 Silver, 52",MOUNTAIN BIKES,112.60
"HL Mountain Frame - Silver, 46",MOUNTAIN FRAMES,818.70
ML Mountain Pedal,PEDALS,37.25
ML Mountain Seat/Saddle,SADDLES,23.48
"Road-350-W Yellow, 40",ROAD BIKES,1020.59
Hitch Rack - 4-Bike,BIKE RACKS,72.00
"ML Road Frame-W - Yellow, 44",ROAD FRAMES,356.90
"Road-350-W Yellow, 42",ROAD BIKES,1020.59
"Sport-100 Helmet, Red",HELMETS,20.99
HL Road Handlebars,HANDLEBARS,72.16
LL Road Pedal,PEDALS,24.29
"Short-Sleeve Classic Jersey, XL",JERSEYS,32.39
"Sport-100 Helmet, Blue",HELMETS,20.99
AWC Logo Cap,CAPS,5.39
HL Road Pedal,PEDALS,48.59
"Road-250 Red, 58",ROAD BIKES,1466.01
"Road-350-W Yellow, 48",ROAD BIKES,1020.59
"Road-550-W Yellow, 40",ROAD BIKES,672.29
"Road-550-W Yellow, 42",ROAD BIKES,672.29
"Classic Vest, S",VESTS,38.10
"Long-Sleeve Logo Jersey, M",JERSEYS,29.99
"Road-750 Black, 52",ROAD BIKES,323.99
"Road-750 Black, 48",ROAD BIKES,323.99
Bike Wash - Dissolver,CLEANERS,4.77
"Road-250 Black, 58",ROAD BIKES,1466.01
"Sport-100 Helmet, Black",HELMETS,20.99
"Classic Vest, M",VESTS,38.10
"LL Road Frame - Black, 52",ROAD FRAMES,202.33
"Short-Sleeve Classic Jersey, L",JERSEYS,32.39
"Road-750 Black, 44",ROAD BIKES,323.99
Water Bottle - 30 oz.,BOTTLES AND CAGES,2.99
"Road-250 Black, 52",ROAD BIKES,1466.01
"Racing Socks, M",SOCKS,5.39
"Half-Finger Gloves, M",GLOVES,14.69
"Road-350-W Yellow, 44",ROAD BIKES,1020.59
"Road-250 Black, 44",ROAD BIKES,1466.01
"Road-550-W Yellow, 38",ROAD BIKES,672.29
Hydration Pack - 70 oz.,HYDRATION PACKS,32.99
"Road-750 Black, 58",ROAD BIKES,323.99
"Road-550-W Yellow, 48",ROAD BIKES,672.29
"Road-250 Black, 48",ROAD BIKES,1466.01
ML Road Pedal,PEDALS,37.25
"Long-Sleeve Logo Jersey, L",JERSEYS,29.99
"Short-Sleeve Classic Jersey, S",JERSEYS,32.39
"Racing Socks, L",SOCKS,5.39
"Road-550-W Yellow, 44",ROAD BIKES,672.29
HL Touring Seat/Saddle,SADDLES,31.58
